X,Y,group,Species 1,Species 2,Author
0.1250075,1479.95887,3,BaF2,NaF,MSTDB-TC V3.1
0.150007,1479.95887,3,BaF2,NaF,MSTDB-TC V3.1
0.163683877,1479.95887,3,BaF2,NaF,MSTDB-TC V3.1
0.162830034,1480.8177,3,BaF2,NaF,MSTDB-TC V3.1
0.141469349,1502.24883,3,BaF2,NaF,MSTDB-TC V3.1
0.120078801,1523.59872,3,BaF2,NaF,MSTDB-TC V3.1
0.098655945,1544.86023,3,BaF2,NaF,MSTDB-TC V3.1
0.077198531,1566.02665,3,BaF2,NaF,MSTDB-TC V3.1
0.055704531,1587.09176,3,BaF2,NaF,MSTDB-TC V3.1
0.034172155,1608.04989,3,BaF2,NaF,MSTDB-TC V3.1
0.012599855,1628.89594,3,BaF2,NaF,MSTDB-TC V3.1
1.00E-05,1640.99016,3,BaF2,NaF,MSTDB-TC V3.1
1.00E-05,1479.95887,4,BaF2,NaF,MSTDB-TC V3.1
0.0250095,1479.95887,4,BaF2,NaF,MSTDB-TC V3.1
0.050009,1479.95887,4,BaF2,NaF,MSTDB-TC V3.1
0.0750085,1479.95887,4,BaF2,NaF,MSTDB-TC V3.1
0.100008,1479.95887,4,BaF2,NaF,MSTDB-TC V3.1
0.1250075,1479.95887,4,BaF2,NaF,MSTDB-TC V3.1
0.150007,1479.95887,4,BaF2,NaF,MSTDB-TC V3.1
0.163683877,1479.95887,4,BaF2,NaF,MSTDB-TC V3.1
0.164561262,1479.16727,4,BaF2,NaF,MSTDB-TC V3.1
0.186477421,1459.32176,4,BaF2,NaF,MSTDB-TC V3.1
0.208367615,1439.39838,4,BaF2,NaF,MSTDB-TC V3.1
0.230241456,1419.42615,4,BaF2,NaF,MSTDB-TC V3.1
0.252105609,1399.42507,4,BaF2,NaF,MSTDB-TC V3.1
0.273965798,1379.41219,4,BaF2,NaF,MSTDB-TC V3.1
0.295828943,1359.40811,4,BaF2,NaF,MSTDB-TC V3.1
0.317705318,1339.44345,4,BaF2,NaF,MSTDB-TC V3.1
0.339610497,1319.56496,4,BaF2,NaF,MSTDB-TC V3.1
0.361566711,1299.84036,4,BaF2,NaF,MSTDB-TC V3.1
0.383603032,1280.36049,4,BaF2,NaF,MSTDB-TC V3.1
